date,open,high,low,close,volume
11/30/21,15.4,15.6,14.7,15.2,714307.0
11/30/21,48.4,51.2,48.4,48.9,1236.0
11/30/21,84.5,84.8,80.6,82.8,788517.0
11/30/21,109.0,109.0,103.0,103.8,141892.0
11/30/21,38.9,38.9,37.6,37.8,192786.0
11/30/21,2324.7,2440.8,2324.7,2440.8,12079.0
11/30/21,38.3,38.5,37.9,38.1,211358.0
11/30/21,7.8,7.8,7.6,7.7,132123.0
11/30/21,6.4,6.4,6.3,6.3,218230.0
11/30/21,124.7,126.2,120.5,120.5,2194.0
11/30/21,57.9,57.9,54.4,54.4,22535.0
11/30/21,50.9,51.6,49.1,49.2,82404.0
11/30/21,33.2,33.2,32.1,32.2,144303.0
11/30/21,36.7,36.7,34.9,35.7,189446.0
11/30/21,43.1,46.0,43.1,46.0,422370.0
11/30/21,41.0,41.4,40.5,40.8,85035.0
11/30/21,33.5,34.0,32.7,33.1,70955.0
11/30/21,10.6,10.6,10.2,10.2,456546.0
11/30/21,6.7,6.8,6.6,6.8,243121.0
11/30/21,13.2,13.2,13.0,13.0,2242570.0
11/30/21,5.0,5.2,4.9,5.0,2359489.0
11/30/21,12.1,12.3,11.7,11.8,574119.0
11/30/21,6.8,6.8,6.6,6.6,103480.0
11/30/21,47.4,47.5,46.2,47.4,85450.0
11/30/21,7.0,7.0,6.7,6.8,589352.0
11/30/21,5.6,5.6,5.5,5.5,610895.0
11/30/21,35.3,35.8,34.7,34.9,132993.0
11/30/21,16.2,16.3,15.6,15.7,539121.0
11/30/21,37.7,39.0,37.0,38.0,39470.0
11/30/21,7.5,7.6,7.3,7.5,59467.0
11/30/21,14.3,14.4,13.7,14.0,19861326.0
11/30/21,95.3,95.3,89.4,92.8,3067397.0
11/30/21,16.9,17.0,16.0,16.1,815614.0
11/30/21,14.0,14.2,13.7,13.8,408148.0
11/30/21,33.7,33.8,32.0,33.7,497663.0
11/30/21,227.1,229.0,220.0,220.6,36134.0
11/30/21,165.0,166.7,151.2,156.7,2034492.0
11/30/21,6.1,6.3,5.8,5.8,1181312.0
11/30/21,16.8,16.8,16.4,16.5,186465.0
11/30/21,30.5,31.8,30.5,30.8,2265.0
11/30/21,46.2,47.0,45.5,45.5,164899.0
11/30/21,21.3,21.4,20.4,20.7,2978826.0
11/30/21,363.0,363.0,346.0,348.3,278783.0
11/30/21,54.4,54.4,52.8,52.9,436270.0
11/30/21,16.5,16.5,16.3,16.4,189416.0
11/30/21,7.8,7.8,7.7,7.7,265627.0
11/30/21,92.3,93.6,90.7,91.4,50636.0
11/30/21,22.5,22.5,21.7,21.9,640205.0
11/30/21,49.2,49.4,47.0,47.2,162147.0
11/30/21,280.0,280.0,272.0,277.0,4861.0
11/30/21,27.3,27.3,25.4,25.5,1095988.0
11/30/21,60.0,60.0,54.0,55.6,57292.0
11/30/21,45.0,45.0,44.0,44.0,2961.0
11/30/21,267.2,269.0,267.2,269.0,10293.0
11/30/21,19.0,19.2,18.4,18.7,338621.0
11/30/21,114.5,119.7,114.1,114.9,84188.0
11/30/21,6.8,6.8,6.7,6.7,48509.0
11/30/21,8.9,8.9,8.5,8.5,41336.0
11/30/21,10.4,10.4,10.2,10.2,402432.0
11/30/21,7.3,7.4,7.2,7.4,2502.0
11/30/21,5.5,5.5,5.3,5.4,687948.0
11/30/21,8.1,8.1,7.9,7.9,45055.0
11/30/21,61.0,62.0,58.9,59.1,775517.0
11/30/21,46.1,47.1,46.1,46.2,155195.0
11/30/21,18.9,19.5,18.7,19.0,20612088.0
11/30/21,5.9,5.9,5.7,5.8,366209.0
11/30/21,6.5,6.5,6.4,6.4,25005.0
11/30/21,6.9,6.9,6.6,6.7,352238.0
11/30/21,24.6,24.6,23.7,24.0,8028.0
11/30/21,110.3,112.9,109.0,111.8,101865.0
11/30/21,27.3,27.3,26.6,26.8,52036.0
11/30/21,20.3,20.3,18.9,19.2,192080.0
11/30/21,40.5,40.5,39.0,39.1,413956.0
11/30/21,32.0,32.0,31.2,31.3,263222.0
11/30/21,27.3,27.3,26.2,26.4,436686.0
11/30/21,64.6,64.6,62.5,62.8,95000.0
11/30/21,36.3,36.3,34.2,34.6,24608.0
11/30/21,33.3,33.3,31.0,31.4,98061.0
11/30/21,24.0,24.2,23.5,23.6,700479.0
11/30/21,171.3,172.2,170.7,171.0,3736.0
11/30/21,43.0,43.0,41.7,42.0,147530.0
11/30/21,322.0,325.6,314.2,315.3,15099.0
11/30/21,101.0,102.0,101.0,102.0,500.0
11/30/21,40.0,40.1,39.1,39.2,136657.0
11/30/21,281.0,298.0,275.0,281.8,8679.0
11/30/21,10.2,10.4,9.9,9.9,234693.0
11/30/21,66.3,66.3,62.8,63.4,113971.0
11/30/21,7.0,7.2,6.9,7.0,1049638.0
11/30/21,395.8,395.8,387.0,388.9,4061.0
11/30/21,32.4,33.0,32.1,32.4,117812.0
11/30/21,8.9,9.0,8.8,9.0,304433.0
11/30/21,32.0,32.6,30.9,31.7,1607517.0
11/30/21,39.5,39.7,38.7,38.8,2514173.0
11/30/21,75.9,76.5,73.1,73.5,1190379.0
11/30/21,778.9,778.9,750.3,754.9,1589.0
11/30/21,1397.7,1409.4,1375.0,1376.4,5289.0
11/30/21,37.8,37.8,36.4,36.8,490395.0
11/30/21,40.4,40.4,39.5,39.8,219499.0
11/30/21,7.1,7.1,6.9,6.9,2081990.0
11/30/21,24.3,24.3,23.2,23.5,1048202.0
11/30/21,30.8,30.8,28.8,29.2,2500314.0
11/30/21,2286.0,2290.0,2278.2,2279.0,1789.0
11/30/21,60.1,60.1,57.7,58.0,253540.0
11/30/21,15.6,15.6,14.2,14.5,11775.0
11/30/21,78.0,79.8,76.4,77.7,20870.0
11/30/21,71.5,71.5,68.5,68.7,53674.0
11/30/21,19.2,19.2,18.3,19.0,26098.0
11/30/21,18.4,18.6,17.9,18.1,6660535.0
11/30/21,44.5,47.7,44.5,45.6,10666.0
11/30/21,21.0,21.1,20.0,20.2,478162.0
11/30/21,27.6,27.6,25.7,25.9,467915.0
11/30/21,68.0,68.0,67.2,67.5,14007.0
11/30/21,17.7,18.0,17.3,17.4,233387.0
11/30/21,26.0,26.5,25.1,25.9,416088.0
11/30/21,63.7,63.7,62.2,62.5,99486.0
11/30/21,12.6,12.6,11.8,12.0,59333.0
11/30/21,86.7,87.4,85.0,85.2,253283.0
11/30/21,24.0,24.2,23.7,24.0,2381676.0
11/30/21,513.0,513.0,496.0,498.1,3964.0
11/30/21,110.7,111.9,107.1,107.5,43113.0
11/30/21,19.2,19.2,17.9,18.3,200523.0
11/30/21,141.9,142.7,136.2,142.5,12983.0
11/30/21,191.6,194.9,191.6,193.1,23364.0
11/30/21,19.9,20.3,19.9,20.1,150912.0
11/30/21,40.9,41.9,40.9,41.7,194489.0
11/30/21,195.0,209.8,195.0,208.9,7632.0
11/30/21,28.8,28.8,28.0,28.4,41906.0
11/30/21,8.1,8.2,7.9,8.0,6134818.0
11/30/21,15.6,15.9,15.3,15.4,3108823.0
11/30/21,8.7,8.7,8.6,8.6,53773.0
11/30/21,21.0,21.3,19.9,20.0,844395.0
11/30/21,57.0,57.3,54.7,55.2,486373.0
11/30/21,55.3,55.3,52.4,52.7,124724.0
11/30/21,13.7,13.7,13.5,13.5,135748.0
11/30/21,253.0,257.0,250.0,250.0,4715.0
